condition,scenario,planner,k_samples,episodes,successes,success_rate,success_wilson_low,success_wilson_high,final_distance_mean,cost_mean,control_ms_mean,control_ms_p95,collision_mean
nominal,box_swivel,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.3019393,2.635337,0.09581526333333333,0.10214889999999999,0.0
nominal,box_swivel,soppi_fast,256,30,1,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.2880573666666667,2.3735516666666663,1.2990103333333332,1.32028,0.0
sensor_noise_high,box_align_contact_arc,diff_mppi_3,256,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,0.31389560000000005,3.5781313333333333,2.4232086666666666,2.4575855,0.0
sensor_noise_high,box_align_contact_arc,mppi,256,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.344832,4.937586666666666,0.10348529666666667,0.1069214,0.0
sensor_noise_high,box_align_contact_arc,soppi_fast,256,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386,0.3183129333333333,4.0836673333333335,1.3332853333333332,1.3428785,0.0
sensor_noise_high,box_align_contact_loss,diff_mppi_3,256,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386,0.28998593333333333,3.62473,2.4289270000000003,2.4592395,0.0
sensor_noise_high,box_align_contact_loss,mppi,256,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.3540249,5.143902,0.10748593333333334,0.1179754,0.0
sensor_noise_high,box_align_contact_loss,soppi_fast,256,30,11,0.36666666666666664,0.21873920806100708,0.5448643634520511,0.33587741666666665,5.542736333333334,1.3354736666666667,1.3442224999999999,0.0
sensor_noise_high,box_align_detour,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.6076020999999999,12.095466666666665,3.3367926666666667,3.3460665,0.0
sensor_noise_high,box_align_detour,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.6073796,12.05658,0.15592370000000003,0.1777036,0.0
sensor_noise_high,box_align_detour,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.6085239,12.0671,1.8533083333333333,1.9020165,0.0
