condition,scenario,planner,k_samples,episodes,successes,success_rate,success_wilson_low,success_wilson_high,final_distance_mean,cost_mean,control_ms_mean,control_ms_p95,collision_mean
gain_1p2,box_align_contact_loss,diff_mppi_3,128,30,26,0.8666666666666667,0.703186733179637,0.9469034451594526,0.27698823333333333,2.944744666666667,2.435305,2.4645975,0.0
gain_1p2,box_align_contact_loss,diff_mppi_3,256,30,26,0.8666666666666667,0.703186733179637,0.9469034451594526,0.27669943333333336,2.854489666666667,2.4445740000000002,2.4784505,0.0
gain_1p2,box_align_contact_loss,diff_mppi_3,512,30,30,1.0,0.8864866068260312,0.9999999999999999,0.27576436666666665,2.563429333333333,2.4853636666666663,2.49704,0.0
gain_1p2,box_align_contact_loss,mppi,128,30,8,0.26666666666666666,0.14182663319596317,0.4444796169518888,0.29193759999999996,4.70842,0.08552726000000001,0.089277385,0.0
gain_1p2,box_align_contact_loss,mppi,256,30,2,0.06666666666666667,0.018477023791270378,0.2132345836261692,0.2956300666666667,4.724397333333333,0.10222715333333333,0.11071334999999999,0.0
gain_1p2,box_align_contact_loss,mppi,512,30,0,0.0,0.0,0.11351339317396876,0.29729386666666663,4.566351333333333,0.1527818,0.15713435000000003,0.0
gain_1p2,box_align_contact_loss,mppi_hardmodel,128,30,0,0.0,0.0,0.11351339317396876,0.9226725333333333,26.95121,0.11876473333333333,0.12997904999999998,0.0
gain_1p2,box_align_contact_loss,mppi_hardmodel,256,30,0,0.0,0.0,0.11351339317396876,0.9145078000000001,23.651216666666667,0.14048153333333332,0.14978785,0.0
gain_1p2,box_align_contact_loss,mppi_hardmodel,512,30,0,0.0,0.0,0.11351339317396876,0.8906529333333334,18.743299999999998,0.18347193333333334,0.19573684999999996,0.0
gain_1p2,box_align_contact_loss,soppi,128,30,3,0.1,0.03459988874733419,0.25621082579184085,0.29474079999999997,5.007170666666667,0.2786367,0.2844838,0.0
gain_1p2,box_align_contact_loss,soppi,256,30,3,0.1,0.03459988874733419,0.25621082579184085,0.29558663333333335,4.642948333333334,0.37697686666666663,0.38057765,0.0
gain_1p2,box_align_contact_loss,soppi,512,30,0,0.0,0.0,0.11351339317396876,0.2980431666666667,4.516083666666666,0.6021867666666666,0.613174,0.0
gain_1p2,box_align_contact_loss,soppi_fast,128,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.28663099999999997,4.110118,1.2651466666666666,1.2744035,0.0
gain_1p2,box_align_contact_loss,soppi_fast,256,30,12,0.4,0.24590628116801852,0.5767963974667752,0.28440279999999996,3.992957666666667,1.3465673333333332,1.3537635,0.0
gain_1p2,box_align_contact_loss,soppi_fast,512,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,0.28539183333333334,3.694275333333333,1.5636713333333332,1.5895839999999999,0.0
gain_1p2,box_align_detour,diff_mppi_1,128,30,0,0.0,0.0,0.11351339317396876,0.29506746666666667,2.7872303333333335,1.1840436666666667,1.1887379999999999,0.0
gain_1p2,box_align_detour,diff_mppi_1,256,30,0,0.0,0.0,0.11351339317396876,0.2870281333333333,2.6712443333333336,1.2143626666666667,1.2459095,0.0
gain_1p2,box_align_detour,diff_mppi_1,512,30,0,0.0,0.0,0.11351339317396876,0.2864754666666667,2.649008333333333,1.2448590000000002,1.2498345,0.0
gain_1p2,box_align_detour,diff_mppi_3,128,30,0,0.0,0.0,0.11351339317396876,0.28565039999999997,2.647965,3.3828046666666665,3.3962765,0.0
gain_1p2,box_align_detour,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.27570083333333334,2.514793333333333,3.4059096666666666,3.4115745000000004,0.0
gain_1p2,box_align_detour,diff_mppi_3,512,30,0,0.0,0.0,0.11351339317396876,0.274824,2.4842706666666667,3.4442063333333333,3.449436,0.0
gain_1p2,box_align_detour,mppi,128,30,0,0.0,0.0,0.11351339317396876,0.31782716666666666,3.1624146666666664,0.08842083333333334,0.09637222,0.0
gain_1p2,box_align_detour,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.31411723333333336,3.0725106666666666,0.1138472,0.11671089999999999,0.0
gain_1p2,box_align_detour,mppi,512,30,0,0.0,0.0,0.11351339317396876,0.3156165,3.068297333333333,0.15378906666666667,0.15680535,0.0
gain_1p2,box_align_detour,mppi_hardmodel,128,30,0,0.0,0.0,0.11351339317396876,0.8023965000000001,15.258139666666667,0.09712083666666667,0.1013446,0.0
gain_1p2,box_align_detour,mppi_hardmodel,256,30,0,0.0,0.0,0.11351339317396876,0.7727710333333333,14.058457,0.12756716666666665,0.13444655,0.0
gain_1p2,box_align_detour,mppi_hardmodel,512,30,0,0.0,0.0,0.11351339317396876,0.7579849666666667,13.555903333333333,0.1682247,0.17550604999999997,0.0
gain_1p2,box_align_detour,soppi,128,30,0,0.0,0.0,0.11351339317396876,0.31959553333333335,3.1924149999999996,0.3260558666666667,0.33029569999999997,0.0
gain_1p2,box_align_detour,soppi,256,30,0,0.0,0.0,0.11351339317396876,0.31582183333333336,3.097729,0.4287201333333333,0.43402465,0.0
gain_1p2,box_align_detour,soppi,512,30,0,0.0,0.0,0.11351339317396876,0.3174845,3.1042126666666667,0.6478373666666666,0.65061035,0.0
