condition,scenario,planner,baseline,k_samples,paired_episodes,success_delta,success_delta_ci_low,success_delta_ci_high,final_distance_delta,final_distance_delta_ci_low,final_distance_delta_ci_high,candidate_only_successes,baseline_only_successes,mcnemar_p,mcnemar_holm_p
gain_1p2,box_align_strict,soppi_fast,mppi,256,30,0.4666666666666667,0.3,0.6333333333333333,-0.01043806666666666,-0.015017067499999988,-0.006080033333333329,14,0,0.0001220703125,0.039794921875
gain_1p2,box_align_strict,diff_mppi_3,mppi,512,30,0.6666666666666666,0.5,0.8333333333333334,-0.013212433333333337,-0.015715855000000008,-0.010600445000000009,20,0,1.9073486328125e-06,0.0006694793701171875
gain_1p2,box_align_strict,soppi_fast,mppi,512,30,0.5666666666666667,0.36666666666666664,0.7666666666666667,-0.008139833333333341,-0.010949908333333347,-0.005268631666666683,18,1,7.62939453125e-05,0.0251007080078125
gain_1p2,box_swivel,diff_mppi_3,mppi,128,30,0.03333333333333333,0.0,0.1,-0.0026317666666666665,-0.005091730833333336,-0.00035271333333333223,1,0,1.0,1.0
gain_1p2,box_swivel,soppi_fast,mppi,128,30,0.06666666666666667,0.0,0.16666666666666666,-0.010031000000000002,-0.026912271666666668,-0.0006433200000000025,2,0,0.5,1.0
gain_1p2,box_swivel,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.0028375,-0.005213787499999999,-0.000575628333333333,0,0,1.0,1.0
gain_1p2,box_swivel,soppi_fast,mppi,256,30,0.03333333333333333,0.0,0.1,-0.009669699999999996,-0.026612135833333325,-0.0005023375000000007,1,0,1.0,1.0
gain_1p2,box_swivel,diff_mppi_3,mppi,512,30,0.0,0.0,0.0,-0.002651866666666668,-0.004472086666666666,-0.0008797008333333374,0,0,1.0,1.0
gain_1p2,box_swivel,soppi_fast,mppi,512,30,0.0,0.0,0.0,-0.0006947666666666676,-0.002533794999999997,0.0011433733333333304,0,0,1.0,1.0
hard_damping_0p75,box_align_contact_arc,diff_mppi_3,mppi,128,30,0.3,0.13333333333333333,0.5,-0.05725987333333334,-0.08386578466666667,-0.03151224433333335,10,1,0.01171875,1.0
hard_damping_0p75,box_align_contact_arc,soppi_fast,mppi,128,30,0.03333333333333333,-0.2,0.26666666666666666,-0.027841390000000004,-0.058995008583333335,0.0048756549999999345,7,6,1.0,1.0
hard_damping_0p75,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.2,-0.03333333333333333,0.43333333333333335,-0.024819700000000004,-0.04937889083333334,0.0004076916666666464,10,4,0.1795654296875,1.0
hard_damping_0p75,box_align_contact_arc,soppi_fast,mppi,256,30,0.06666666666666667,-0.16666666666666666,0.3,-0.011347200000000005,-0.033292185,0.012182833333333325,7,5,0.7744140625,1.0
hard_damping_0p75,box_align_contact_arc,diff_mppi_3,mppi,512,30,0.16666666666666666,-0.03333333333333333,0.36666666666666664,-0.03609573333333334,-0.05756155416666668,-0.01627238833333335,7,2,0.1796875,1.0
hard_damping_0p75,box_align_contact_arc,soppi_fast,mppi,512,30,-0.06666666666666667,-0.26666666666666666,0.13333333333333333,-0.0037477333333333323,-0.024921176666666666,0.015137628333333323,4,6,0.75390625,1.0
hard_damping_0p75,box_align_contact_loss,diff_mppi_3,mppi,128,30,0.3,0.03333333333333333,0.5333333333333333,-0.07002426,-0.10354391683333335,-0.03596580583333335,13,4,0.049041748046875,1.0
hard_damping_0p75,box_align_contact_loss,soppi_fast,mppi,128,30,0.23333333333333334,-0.06666666666666667,0.5,-0.02676006666666667,-0.07565569083333333,0.02362418583333332,13,6,0.1670684814453125,1.0
hard_damping_0p75,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.4,0.2,0.6,-0.06202986666666666,-0.08843157333333333,-0.03359769833333335,13,1,0.0018310546875,0.560302734375
hard_damping_0p75,box_align_contact_loss,soppi_fast,mppi,256,30,0.23333333333333334,0.0,0.4666666666666667,-0.017022233333333327,-0.05138115083333333,0.01744554666666667,11,4,0.11846923828125,1.0
hard_damping_0p75,box_align_contact_loss,diff_mppi_3,mppi,512,30,0.3333333333333333,0.13333333333333333,0.5333333333333333,-0.09375593333333333,-0.1267652725,-0.06260308166666667,11,1,0.00634765625,1.0
hard_damping_0p75,box_align_contact_loss,soppi_fast,mppi,512,30,-0.03333333333333333,-0.26666666666666666,0.2,-0.021262733333333336,-0.049913487500000006,0.006606848333333326,5,6,1.0,1.0
hard_damping_0p75,box_align_detour,diff_mppi_3,mppi,128,30,0.0,0.0,0.0,-0.04487129999999998,-0.07738926249999999,-0.014801237500000052,0,0,1.0,1.0
hard_damping_0p75,box_align_detour,soppi_fast,mppi,128,30,0.0,0.0,0.0,0.0507543,-0.024647608333333324,0.1599169108333333,0,0,1.0,1.0
hard_damping_0p75,box_align_detour,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.0021334333333333398,-0.032310884166666665,0.025765534166666645,0,0,1.0,1.0
hard_damping_0p75,box_align_detour,soppi_fast,mppi,256,30,0.0,0.0,0.0,-0.010726833333333336,-0.032744915000000006,0.010704708333333294,0,0,1.0,1.0
hard_damping_0p75,box_align_detour,diff_mppi_3,mppi,512,30,0.0,0.0,0.0,0.007086733333333327,-0.019641582500000015,0.04326861499999996,0,0,1.0,1.0
hard_damping_0p75,box_align_detour,soppi_fast,mppi,512,30,0.0,0.0,0.0,0.021549333333333323,-0.004793265000000005,0.056884234999999984,0,0,1.0,1.0
hard_damping_0p75,box_align_strict,diff_mppi_3,mppi,128,30,0.2,-0.03333333333333333,0.4,-0.09951214,-0.15062744633333333,-0.053365792500000016,9,3,0.14599609375,1.0
hard_damping_0p75,box_align_strict,soppi_fast,mppi,128,30,0.06666666666666667,-0.13333333333333333,0.26666666666666666,-0.03991732666666666,-0.10683659833333331,0.016332356666666662,5,3,0.7265625,1.0
hard_damping_0p75,box_align_strict,diff_mppi_3,mppi,256,30,0.26666666666666666,0.03333333333333333,0.5,-0.07967926666666666,-0.11118074583333333,-0.049803391666666676,11,3,0.057373046875,1.0
hard_damping_0p75,box_align_strict,soppi_fast,mppi,256,30,0.06666666666666667,-0.16666666666666666,0.3,-0.005878599999999998,-0.03692315083333334,0.025026124999999982,7,5,0.7744140625,1.0
hard_damping_0p75,box_align_strict,diff_mppi_3,mppi,512,30,0.4666666666666667,0.26666666666666666,0.6666666666666666,-0.08283707000000001,-0.10461157658333334,-0.06180792250000001,15,1,0.000518798828125,0.162384033203125
hard_damping_0p75,box_align_strict,soppi_fast,mppi,512,30,0.3,0.1,0.5,-0.029147933333333327,-0.051975326666666655,-0.006022166666666659,11,2,0.0224609375,1.0
hard_damping_0p75,box_swivel,diff_mppi_3,mppi,128,30,-0.03333333333333333,-0.1,0.0,0.0133897,0.001254284166666666,0.026363872500000003,0,1,1.0,1.0
hard_damping_0p75,box_swivel,soppi_fast,mppi,128,30,0.0,-0.1,0.1,0.0005297999999999979,-0.01830980833333333,0.017867981666666657,1,1,1.0,1.0
hard_damping_0p75,box_swivel,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,0.013929400000000005,0.003172074999999998,0.024800240833333324,0,0,1.0,1.0
hard_damping_0p75,box_swivel,soppi_fast,mppi,256,30,0.0,0.0,0.0,0.0025044999999999976,-0.014466790833333337,0.01741968083333332,0,0,1.0,1.0
hard_damping_0p75,box_swivel,diff_mppi_3,mppi,512,30,0.0,0.0,0.0,0.007632366666666668,0.0020179825000000012,0.012936347499999999,0,0,1.0,1.0
hard_damping_0p75,box_swivel,soppi_fast,mppi,512,30,0.0,0.0,0.0,0.005237033333333339,-0.0012431316666666576,0.011412729166666667,0,0,1.0,1.0
hard_damping_1p25,box_align_contact_arc,diff_mppi_3,mppi,128,30,0.43333333333333335,0.2,0.6333333333333333,-0.06562833333333333,-0.09871764999999999,-0.03498954333333334,15,2,0.002349853515625,0.697906494140625
hard_damping_1p25,box_align_contact_arc,soppi_fast,mppi,128,30,0.23333333333333334,0.0,0.43333333333333335,-0.03573599999999999,-0.06863524416666665,-0.0008290625000000113,10,3,0.09228515625,1.0
hard_damping_1p25,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.36666666666666664,0.13333333333333333,0.6,-0.05153573333333334,-0.08105382583333332,-0.020882763333333363,13,2,0.00738525390625,1.0
hard_damping_1p25,box_align_contact_arc,soppi_fast,mppi,256,30,0.06666666666666667,-0.13333333333333333,0.23333333333333334,-0.008960099999999999,-0.035886579999999994,0.017924420833333246,5,3,0.7265625,1.0
hard_damping_1p25,box_align_contact_arc,diff_mppi_3,mppi,512,30,0.43333333333333335,0.2,0.6666666666666666,-0.050636333333333325,-0.07262713333333332,-0.028442038333333336,15,2,0.002349853515625,0.697906494140625
hard_damping_1p25,box_align_contact_arc,soppi_fast,mppi,512,30,-0.03333333333333333,-0.26666666666666666,0.2,-0.002743933333333339,-0.02674353,0.021656375,6,7,1.0,1.0
hard_damping_1p25,box_align_contact_loss,diff_mppi_3,mppi,128,30,0.23333333333333334,-0.03333333333333333,0.5,-0.022300599999999997,-0.07544746749999999,0.03997333333333333,13,6,0.1670684814453125,1.0
hard_damping_1p25,box_align_contact_loss,soppi_fast,mppi,128,30,0.06666666666666667,-0.2,0.3333333333333333,-0.01681183333333332,-0.053402897499999984,0.020446371666666612,9,7,0.803619384765625,1.0
hard_damping_1p25,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.5,0.26666666666666666,0.7,-0.07446076666666665,-0.10041007416666667,-0.04768762750000011,17,2,0.000728607177734375,0.22659683227539062
hard_damping_1p25,box_align_contact_loss,soppi_fast,mppi,256,30,0.13333333333333333,-0.13333333333333333,0.4,-0.02258086666666666,-0.05193110833333333,0.007599818333333318,10,6,0.454498291015625,1.0
hard_damping_1p25,box_align_contact_loss,diff_mppi_3,mppi,512,30,0.6333333333333333,0.4,0.8333333333333334,-0.09869016666666666,-0.12915761916666665,-0.07057023916666667,21,2,6.604194641113281e-05,0.021793842315673828
hard_damping_1p25,box_align_contact_loss,soppi_fast,mppi,512,30,0.3333333333333333,0.13333333333333333,0.5333333333333333,-0.0401815,-0.06698734916666665,-0.014114624166666676,11,1,0.00634765625,1.0
hard_damping_1p25,box_align_detour,diff_mppi_3,mppi,128,30,0.0,0.0,0.0,-0.042983633333333326,-0.08297911416666667,-0.0035541766666667045,0,0,1.0,1.0
